tempo_s,custo,bound,gap_pct
3455.0,846.9982663,820.62098,3.1142078265668256
3463.0,846.9982663,820.62989,3.1131558763616693
3466.0,846.9982663,820.63258,3.112838284212199
3470.0,846.9982663,820.63605,3.1124286021457706
3482.0,846.9982663,820.64442,3.1114404064985024
3485.0,846.9982663,820.64665,3.111177123787217
3495.0,846.9982663,820.65542,3.1101417025415117
3503.0,846.9982663,820.66511,3.10899766241941
3507.0,846.9982663,820.66983,3.1084404003578667
3512.0,846.9982663,820.67474,3.1078607061370693
3519.0,846.9982663,820.68162,3.107048425843986
3523.0,846.9982663,820.68533,3.106610408418487
3527.0,846.9982663,820.68906,3.106170029713072
3530.0,846.9982663,820.69189,3.105835908604151
3539.0,846.9982663,820.69745,3.105179472785888
3543.0,846.9982663,820.70088,3.1047745132793043
3549.0,846.9982663,820.70315,3.104506508008174
3556.0,846.9982663,820.70718,3.1040307101039413
3565.0,846.9982663,820.71533,3.1030684885358144
3573.0,846.9982663,820.72201,3.102279821041943
3581.0,846.9982663,820.727,3.101690681701456
3588.0,846.9982663,820.73376,3.1008925690878946
3592.0,846.9982663,820.73584,3.100646995976018
3595.0,846.9982663,820.73924,3.1002455783893215
3600.0,846.9982663,820.74622,3.099421491696619
3600.0,846.9982662581533,820.7464227362613,3.0993975510560086
